,losses,acc
154,tensor(0.0984),tensor(0.9600)
155,tensor(0.0360),tensor(1.)
156,tensor(0.1069),tensor(0.9600)
157,tensor(0.0628),tensor(0.9700)
158,tensor(0.0412),tensor(1.)
159,tensor(0.0819),tensor(0.9800)
160,tensor(0.0722),tensor(0.9600)
161,tensor(0.0288),tensor(1.)
162,tensor(0.0671),tensor(0.9800)
163,tensor(0.0864),tensor(0.9900)
164,tensor(0.0400),tensor(1.)
165,tensor(0.0632),tensor(0.9800)
166,tensor(0.0551),tensor(0.9900)
167,tensor(0.0643),tensor(1.)
168,tensor(0.0450),tensor(1.)
169,tensor(0.0530),tensor(0.9800)
170,tensor(0.0333),tensor(1.)
171,tensor(0.0323),tensor(1.)
172,tensor(0.0317),tensor(1.)
173,tensor(0.0622),tensor(1.)
174,tensor(0.0580),tensor(0.9700)
175,tensor(0.0498),tensor(0.9800)
176,tensor(0.0301),tensor(1.)
177,tensor(0.0577),tensor(0.9800)
178,tensor(0.0299),tensor(1.)
179,tensor(0.0339),tensor(1.)
180,tensor(0.0529),tensor(1.)
181,tensor(0.0392),tensor(1.)
182,tensor(0.0413),tensor(1.)
183,tensor(0.0802),tensor(0.9600)
184,tensor(0.0416),tensor(1.)
185,tensor(0.0565),tensor(1.)
186,tensor(0.0258),tensor(1.)
187,tensor(0.0235),tensor(1.)
188,tensor(0.0507),tensor(0.9800)
189,tensor(0.0181),tensor(1.)
190,tensor(0.0322),tensor(1.)
191,tensor(0.0468),tensor(1.)
192,tensor(0.0673),tensor(0.9600)
193,tensor(0.0277),tensor(1.)
194,tensor(0.0283),tensor(1.)
195,tensor(0.0228),tensor(1.)
196,tensor(0.0257),tensor(1.)
197,tensor(0.0409),tensor(0.9800)
198,tensor(0.0537),tensor(0.9800)
199,tensor(0.0370),tensor(1.)
200,tensor(0.0325),tensor(1.)
201,tensor(0.0569),tensor(0.9800)
202,tensor(0.0363),tensor(1.)
203,tensor(0.0487),tensor(1.)
204,tensor(0.0693),tensor(1.)
205,tensor(0.0244),tensor(1.)
206,tensor(0.0420),tensor(0.9900)
207,tensor(0.0464),tensor(1.)
208,tensor(0.0264),tensor(1.)
209,tensor(0.0515),tensor(0.9800)
210,tensor(0.0137),tensor(1.)
211,tensor(0.0309),tensor(1.)
212,tensor(0.0277),tensor(1.)
213,tensor(0.0299),tensor(1.)
214,tensor(0.0193),tensor(1.)
215,tensor(0.0142),tensor(1.)
216,tensor(0.0356),tensor(0.9800)
217,tensor(0.0383),tensor(1.)
218,tensor(0.0212),tensor(1.)
219,tensor(0.0221),tensor(1.)
220,tensor(0.0292),tensor(1.)
221,tensor(0.0176),tensor(1.)
222,tensor(0.0283),tensor(0.9800)
223,tensor(0.0150),tensor(1.)
224,tensor(0.0294),tensor(0.9800)
225,tensor(0.0142),tensor(1.)
226,tensor(0.0336),tensor(1.)
227,tensor(0.0197),tensor(1.)
228,tensor(0.0374),tensor(0.9800)
